#mu     sigma'        sigma'err    alpha'         alpha'Err    n'            n'Err
23.898  2.39101e+00   9.73170e-04  -9.09042e-01   7.23110e-04  1.13515e+00   7.05301e-04
30.199  2.43636e+00   9.98866e-04  -8.64316e-01   7.04106e-04  1.16985e+00   7.24665e-04
38.129  2.51733e+00   1.04786e-03  -8.04094e-01   6.83588e-04  1.19865e+00   7.54176e-04
44.888  2.60902e+00   1.10262e-03  -7.56007e-01   6.68713e-04  1.21541e+00   7.81319e-04
50.130  2.69942e+00   1.13945e-03  -7.27213e-01   6.74714e-04  1.22401e+00   8.69322e-04
56.726  2.82660e+00   1.21864e-03  -6.93770e-01   6.51057e-04  1.23414e+00   8.34026e-04
64.971  2.99738e+00   1.30535e-03  -6.62837e-01   6.43823e-04  1.24105e+00   8.70941e-04
70.452  3.11938e+00   1.36534e-03  -6.46627e-01   6.40798e-04  1.24432e+00   8.95796e-04
78.951  3.31091e+00   1.45946e-03  -6.23732e-01   6.36513e-04  1.24889e+00   9.35187e-04
86.653  3.49219e+00   1.54665e-03  -6.06605e-01   6.34002e-04  1.25256e+00   9.72038e-04
94.253  3.67564e+00   1.63428e-03  -5.92521e-01   6.32924e-04  1.25375e+00   1.00684e-03
103.95  3.91517e+00   1.74721e-03  -5.76204e-01   6.31619e-04  1.25796e+00   1.05559e-03
111.26  4.10284e+00   1.83459e-03  -5.67218e-01   6.33378e-04  1.25741e+00   1.08977e-03
134.69  4.71508e+00   2.10117e-03  -5.42627e-01   6.47794e-04  1.25870e+00   1.26387e-03
