#ToF(ns) Energy(keV) alpha        mu          n           sigma       yield
138.994 0069 -1.3658e+00 1.3811e+02 6.2051e-01 3.8450e+00 2.0810e+03
108.613 0113 -8.8824e-01 1.0796e+02 1.4624e+00 3.0704e+00 2.4550e+03
79.8631 0209 -5.1974e-01 7.9235e+01 1.7196e+00 2.1418e+00 2.9770e+03
66.8823 0298 -4.7066e-01 6.6414e+01 2.1911e+00 1.7985e+00 2.8370e+03
66.659 0300 -6.4129e-01 6.6542e+01 1.4890e+00 1.9238e+00 3.0140e+03
46.6325 0613 -5.2944e-01 4.6476e+01 1.7419e+00 1.3107e+00 2.4520e+03
38.3157 0908 -6.1899e-01 3.8294e+01 1.5047e+00 1.0703e+00 2.2100e+03
36.5106 1000 -6.9066e-01 3.6494e+01 1.3909e+00 1.0855e+00 2.2049e+03
31.159 1373 -6.2136e-01 3.1052e+01 1.3799e+00 8.7888e-01 2.0150e+03
25.2127 2097 -8.0103e-01 2.5261e+01 1.0992e+00 7.3590e-01 1.7320e+03
16.328 5000 -9.2101e-01 1.6361e+01 9.3372e-01 5.1134e-01 1.1199e+03
