#ToF(ns) Energy(keV) alpha        mu          n           sigma       yield
138.994 0069 -9.3337e-01 1.3699e+02 1.4752e+00 3.3587e+00 1.0161e+03
108.613 0113 -9.3914e-01 1.0745e+02 1.5894e+00 2.8817e+00 1.5660e+03
93.3412 0153 -6.3333e-01 9.2464e+01 1.5950e+00 2.5341e+00 2.2380e+03
79.8631 0209 -5.9424e-01 7.9032e+01 1.6793e+00 1.9592e+00 2.3150e+03
66.8823 0298 -7.2860e-01 6.6641e+01 1.6454e+00 1.9701e+00 2.3589e+03
66.659 0300 -7.2927e-01 6.6322e+01 1.4675e+00 1.8713e+00 2.5591e+03
54.9794 0441 -7.2861e-01 6.6641e+01 1.6454e+00 1.9701e+00 2.3591e+03
46.6325 0613 -6.2496e-01 4.6406e+01 1.6408e+00 1.2750e+00 2.2399e+03
38.3157 0908 -6.6441e-01 3.8226e+01 1.5663e+00 1.1342e+00 2.1192e+03
36.5106 1000 -6.7181e-01 3.6433e+01 1.5318e+00 1.0159e+00 2.1291e+03
31.1477 1374 -6.8224e-01 3.1121e+01 1.4569e+00 8.9545e-01 1.9500e+03
25.2067 2098 -6.0740e-01 2.5164e+01 1.3985e+00 6.6243e-01 1.7579e+03
20.4677 3182 -9.0734e-01 2.0416e+01 1.1396e+00 5.3349e-01 1.4980e+03
16.328 5000 -7.8635e-01 1.6355e+01 1.1349e+00 4.5323e-01 1.2121e+03
